Metric,Cluster_0,Cluster_1,Difference,PercentageDifference
ChurnRate,14.1,23.98,9.88,70.07092198581562
AvgAge,38.44,39.2,0.7600000000000051,1.977107180020825
AvgCreditScore,649.48,651.13,1.6499999999999773,0.25404939336083904
AvgBalance,597.42,120163.31,119565.89,20013.70727461418
AvgSalary,98423.21,101049.69,2626.479999999996,2.668557548570094
AvgCustomerValue,99020.63,221213.0,122192.37,123.40092160593201
AvgProducts,1.79,1.38,-0.41000000000000014,-22.905027932960902
ActiveMemberRate,51.93,51.27,-0.6599999999999966,-1.2709416522241412
AvgEngagement,1.99,1.55,-0.43999999999999995,-22.110552763819094
AvgTenure,5.06,4.98,-0.07999999999999918,-1.5810276679841737
