Rank,Feature,Coefficient,OddsRatio,ImpactDirection,AbsoluteCoefficient
1,num__EngagementScore,-4.837646705091849,0.007925683593436981,Decreases Churn Risk,4.837646705091849
2,num__HasCrCard,2.545302083030021,12.747078180512831,Increases Churn Risk,2.545302083030021
3,num__IsActiveMember,2.388380486425732,10.895833695823548,Increases Churn Risk,2.388380486425732
4,num__NumOfProducts,2.3882893248106494,10.894840459299377,Increases Churn Risk,2.3882893248106494
5,cat__Geography_Germany,1.1362885931372861,3.1151851638999637,Increases Churn Risk,1.1362885931372861
6,num__Age,0.8450002476340684,2.3279783910569236,Increases Churn Risk,0.8450002476340684
7,cat__Gender_Male,-0.5850019487431447,0.5571047761570026,Decreases Churn Risk,0.5850019487431447
8,num__HasBalance,-0.20712545631059875,0.812917657939746,Decreases Churn Risk,0.20712545631059875
9,num__BalanceSalaryRatio,0.13163819214237707,1.1406955319902685,Increases Churn Risk,0.13163819214237707
10,num__Balance,0.10368552321460124,1.109251566193021,Increases Churn Risk,0.10368552321460124
11,num__AgeTenureInteraction,-0.08220220374756945,0.9210856928862267,Decreases Churn Risk,0.08220220374756945
12,num__CustomerValue,0.07541027944273672,1.078326475325499,Increases Churn Risk,0.07541027944273672
13,num__CreditScore,-0.07256284624903785,0.9300072973534214,Decreases Churn Risk,0.07256284624903785
14,num__Tenure,0.05604966915732623,1.0576502150269342,Increases Churn Risk,0.05604966915732623
15,cat__Geography_Spain,-0.0047229107186481534,0.995288224686774,Decreases Churn Risk,0.0047229107186481534
16,num__ProductDensity,-0.0024035655067269268,0.9975993207439516,Decreases Churn Risk,0.0024035655067269268
17,num__EstimatedSalary,-0.0007223946206275241,0.999277866243547,Decreases Churn Risk,0.0007223946206275241
