RiskCategory,ValueCategory,Customers,AvgChurnProbability,TotalExpectedLoss,TotalRetentionCost,TotalExpectedSavedValue,AvgROI
Critical Risk,High Value,370,0.8125720283223248,62358860.19841821,3838220.004,18707658.05952546,3.875432169933949
Critical Risk,Low Value,207,0.815574120924543,11928530.536881326,731612.9145000001,3578559.161064398,3.8934447255472575
Critical Risk,Medium Value,357,0.8098521929740629,43496000.81488747,2683140.7435000003,13048800.244466241,3.8591131578443765
Critical Risk,Very High Value,460,0.8158110794675243,107337502.77341706,6571844.744,32201250.832025114,3.894866476805145
High Risk,High Value,257,0.49474181741673845,26224920.07515515,2654528.7435000003,7867476.022546546,1.9684509045004304
High Risk,Low Value,151,0.50762466614898,5287823.65175141,523467.6305,1586347.095525423,2.04574799689388
High Risk,Medium Value,210,0.49318047810000565,15435414.60634018,1565565.313,4630624.381902054,1.9590828686000337
High Risk,Very High Value,265,0.48978072208234635,37346565.31156699,3809518.9635,11203969.593470098,1.9386843324940783
Low Risk,High Value,1356,0.09001544031132835,25237668.071937554,13908406.2665,7571300.421581266,-0.45990735813202993
Low Risk,Low Value,1852,0.06295499901497079,7571664.877990823,5749700.204,2271499.463397247,-0.6222700059101753
Low Risk,Medium Value,1553,0.08070496054216623,18669283.694860727,11553965.564000001,5600785.108458217,-0.5157702367470026
Low Risk,Very High Value,1244,0.10047507485152471,35764130.08709923,17876151.574500002,10729239.02612977,-0.3971495508908518
Medium Risk,High Value,517,0.2846791953335974,30434514.60017274,5342082.049500001,9130354.380051821,0.7080751720015842
Medium Risk,Low Value,290,0.27845511351094476,5765913.391566526,1040140.2195,1729774.0174699577,0.6707306810656684
Medium Risk,Medium Value,380,0.29136413801663374,16558112.665324576,2843133.8735,4967433.799597372,0.7481848280998024
Medium Risk,Very High Value,531,0.2885924082815721,43820384.67834664,7596585.776500001,13146115.403503992,0.7315544496894325
